Breed,About
Aegean cat,"The Aegean cat (Greek: γάτα του Αιγαίου) is a naturally occurring landrace of domestic cat originating from the Cycladic Islands of Greece. Development of the Aegean cat as a formal breed began in the early 1990s by breeders in the fledgling Greek cat fancy, but the variety has yet to be recognized by any major fancier and breeder organization. It is considered to be the only native Greek variety of cat."
American Curl,"The American Curl is a breed of cat characterized by its unusual ears, which curl back from the face toward the center of the back of the skull. An American Curl's ears should be handled carefully because rough handling may damage the cartilage in the ear. The breed originated in Lakewood, California, as the result of a spontaneous mutation.[1]"
American Bobtail,"The American Bobtail is an uncommon breed of domestic cat which was developed in the late 1960s.[1] It is most notable for its stubby ""bobbed"" tail about one-third to one-half the length of a normal cat's tail. This is the result of a cat body type genetic mutation affecting the tail development, similar to that of a Manx cat.[1] The breed is not related to the Japanese Bobtail despite the similar name and physical type—the breeding programs are entirely unrelated, and the genetic mutation causing the bobbed tail are known to be different because the mutation causing the American Bobtail's tail is dominant, whereas the Japanese Bobtail tail mutation is recessive.[2]"
American Shorthair,"The American Shorthair (ASH) is a breed of domestic cat believed to be descended from European cats brought to North America by early settlers to protect valuable cargo from mice and rats.[1] According to the Cat Fancier's Association, in 2012, it was the seventh most popular breed of cat in the United States.[2]"
American Wirehair,"The American Wirehair is a breed of domestic cat originating in upstate New York. As of 2003, though the breed is well-known, it is ranked as the most rare of the 41 Cat Fanciers' Association breeds, with only 22 registered, down from 39 in 2002."
Arabian Mau,"The Arabian Mau is a formal breed of domestic cat, originated from the desert cat, a short-haired landrace native to the desert of the Arabian Peninsula. It lives there in the streets and has adapted very well to the extreme climate. The Arabian Mau is recognized as a formal breed by few fancier and breeder organization and cat registry, World Cat Federation (WCF) and Emirates Feline Federation (EFF). Based on one landrace, the Arabian Mau it is a natural breed."
Australian Mist,The Australian Mist (formerly known as the Spotted Mist) is a breed of cat developed in Australia.
Asian cat,"The Asian, also known as the Malayan, is a cat breed similar to the Burmese but in a range of different coat colours and patterns.[1] Longhaired Asians of all varieties are called Tiffanies. Asians are grouped in the foreign section at cat shows."
Asian Semi-longhair,"The Asian Semi-Longhair is a cat breed similar to the Asian Shorthair except it has semi-long fur. The breed is also known by the name Tiffanie or Tiffany. It is recognized in any of the Asian Shorthair or Burmese colors and patterns. Like the Asian Shorthair, the breed was developed in Britain and is not currently recognized by any U.S. Registries. It has full recognition in the GCCF.[1] It is related to, and in some registries distinct from, the Chantilly-Tiffany or Foreign Longhair, the North American variant."
Balinese cat,"The Balinese is a long-haired breed of domestic cat with Siamese-style point coloration and sapphire-blue eyes. The Balinese is also known as the purebred long-haired Siamese, since it originated as a natural mutation of that breed, and hence is essentially the same cat with a medium-length silky coat and a distinctively plumed tail."
Bambino cat,The Bambino is a breed of cat that was created as a cross between the Sphynx and the Munchkin breeds.
Bengal cat,"The Bengal is a domestic cat breed developed to look like exotic jungle cats such as leopards, ocelots, margays and clouded leopards. Bengal cats were developed by the selective breeding of domestic cats crossed then backcrossed and backcrossed once more with hybrids from the Asian leopard cat (ALC), Prionailurus bengalensis bengalensis, and domestic cat, with the goal of creating a confident, healthy, and friendly cat with a highly contrasted and vividly marked coat.[1]"
Birman,"The Birman, also called the ""Sacred Cat of Burma"",[1] is a domestic cat breed. The Birman is a long-haired, colorpointed cat distinguished by a silky coat, deep blue eyes and contrasting white ""gloves"" or ""socks"" on each paw."
Bombay cat,"Bombay are a type of short-haired cats developed by breeding sable Burmese and black American Shorthair cats to produce a cat of mostly Burmese type, but with a sleek, tight black coat."
Brazilian Shorthair,The Brazilian Shorthair is a breed of cat. It is the first cat breed from Brazil to receive international recognition.
British Longhair,"The British Longhair[1] is a medium-sized, semi-long-haired breed of domestic cat, originating in Great Britain."
British Shorthair,"The British Shorthair is the pedigreed version of the traditional British domestic cat, with a distinctively chunky body, dense coat and broad face. The most familiar colour variant is the ""British Blue"", a solid blue-gray with copper eyes, but the breed has also been developed in a wide range of other colours and patterns, including tabby and colorpoint."
British Longhair,"The British Longhair[1] is a medium-sized, semi-long-haired breed of domestic cat, originating in Great Britain."
Burmese cat,"The Burmese is a breed of domestic cat, originating in Southeast Asia and developed in the United States and Britain."
Burmilla,"The Burmilla is a breed of domestic cat which originated in the United Kingdom in 1981. It is a cross between the Chinchilla Persian and Burmese breeds. Standards were produced in 1984, and the breed gained championship status in the United Kingdom in the 1990s."
California Spangled,"The California Spangled is a breed of domestic cat that was bred to resemble spotted wild cats, like the ocelot and leopard. They were originally bred in the 1980s and were only ever a rare breed, with only 58 ever being registered.[1] They were usually expensive, priced between US$800 and $2,500.[2] The popularity of two other spotted cats breeds, the Ocicat and the Bengal, overshadowed their development."
Chantilly-Tiffany,"The Chantilly-Tiffany or Chantilly/Tiffany, also known as the Chantilly or the Foreign Longhair, is a breed of cat derived mainly from cross-breeding long-haired Asians and Burmese. The breed originated in North America. This breed is considered distinct from the Asian Semi-longhair breed, the British variant. The Chantilly was thought extinct until the 1960s when two of these cats appeared during an estate sale."
Chartreux,"The Chartreux is a rare breed of domestic cat from France and is recognised by a number of registries around the world. It is not currently recognised by the GCCF in the UK, ostensibly for being too similar to the British Shorthair, one of whose colours is a similar blue-grey. The Chartreux is large and muscular, with relatively short, fine-boned limbs, and very fast reflexes. They are known for their blue (grey) water-resistant short hair double coats which are often slightly nappy in texture (often showing ""breaks"" like a sheepskin) and orange- or copper-colored eyes. Chartreux cats are also known for their ""smile"": due to the structure of their heads and their tapered muzzles, they often appear to be smiling. Chartreux are exceptional hunters and are highly prized by farmers."
Chausie,"The Chausie /ˈtʃaʊsi/ is a domestic breed of cat that was developed by breeding a few individuals from the nondomestic species jungle cat (Felis chaus) to a far greater number of domestic cats (Felis catus). The Chausie was first recognized as a domestic breed by The International Cat Association (TICA). Within the domestic breeds, the Chausie is categorized as a nondomestic hybrid source breed.[1] Other domestic breeds in this category include the Bengal and the Savannah. Because Chausies are mostly descended from domestic cats, by about the fourth generation they are fully fertile and completely domestic in temperament. Chausies should be tall, long, and lean, with very long legs and medium boning. The torso is deep-chested with flat sides. The ears are broad, tall, and set high on the head, about two fingers apart. The cheekbones are striking—prominent, long, and angular—and the eyes are flattened on top and form a half oval below. The coat is short, and the cats can come in three colors: solid black, black grizzled tabby, and black (brown) ticked tabby. Gold or yellow eye color is preferred, though yellower and lighter shades of green are allowed."
Cheetoh cat,"The Bengal is a domestic cat breed developed to look like exotic jungle cats such as leopards, ocelots, margays and clouded leopards. Bengal cats were developed by the selective breeding of domestic cats crossed then backcrossed and backcrossed once more with hybrids from the Asian leopard cat (ALC), Prionailurus bengalensis bengalensis, and domestic cat, with the goal of creating a confident, healthy, and friendly cat with a highly contrasted and vividly marked coat.[1]"
